time,var_1_int,var_2_int,var_3_int,var_4_int,var_1_value,var_2_value,var_3_value,var_4_value
0.063208,0,0,18,50,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.50
0.062503,0,0,21,0,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.00
0.061643,0,0,21,5,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.05
0.06099,0,0,21,10,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.10
0.064736,0,0,21,15,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.15
0.061268,0,0,21,20,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.20
0.061783,0,0,21,25,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.25
0.063222,0,0,21,30,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.30
0.062456,0,0,21,35,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.35
0.079066,0,0,21,40,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.40
0.062153,0,0,21,45,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.45
0.062469,0,0,21,50,--text-len 100000,--pattern-len 4,--alphabet 44,--mutation-rate 0.50
0.07878,0,0,24,0,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.00
0.061952,0,0,24,5,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.05
0.063373,0,0,24,10,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.10
0.063011,0,0,24,15,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.15
0.078456,0,0,24,20,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.20
0.062176,0,0,24,25,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.25
0.061516,0,0,24,30,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.30
0.063738,0,0,24,35,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.35
0.06247,0,0,24,40,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.40
0.063237,0,0,24,45,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.45
0.062048,0,0,24,50,--text-len 100000,--pattern-len 4,--alphabet 50,--mutation-rate 0.50
0.077819,0,0,27,0,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.00
0.077864,0,0,27,5,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.05
0.077122,0,0,27,10,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.10
0.062494,0,0,27,15,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.15
0.062783,0,0,27,20,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.20
0.063485,0,0,27,25,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.25
0.062292,0,0,27,30,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.30
0.062394,0,0,27,35,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.35
0.062217,0,0,27,40,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.40
0.062675,0,0,27,45,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.45
0.063291,0,0,27,50,--text-len 100000,--pattern-len 4,--alphabet 56,--mutation-rate 0.50
0.079069,0,0,30,0,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.00
0.061611,0,0,30,5,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.05
0.062745,0,0,30,10,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.10
0.062549,0,0,30,15,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.15
0.078348,0,0,30,20,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.20
0.062213,0,0,30,25,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.25
0.07817,0,0,30,30,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.30
0.063541,0,0,30,35,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.35
0.06289,0,0,30,40,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.40
0.062684,0,0,30,45,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.45
0.062203,0,0,30,50,--text-len 100000,--pattern-len 4,--alphabet 62,--mutation-rate 0.50
0.06215,0,3,0,0,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.00
0.063665,0,3,0,5,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.05
0.06249,0,3,0,10,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.10
0.063702,0,3,0,15,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.15
0.062089,0,3,0,20,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.20
0.062284,0,3,0,25,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.25
0.063083,0,3,0,30,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.30
0.077164,0,3,0,35,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.35
0.062557,0,3,0,40,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.40
0.062267,0,3,0,45,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.45
0.062075,0,3,0,50,--text-len 100000,--pattern-len 10,--alphabet 2,--mutation-rate 0.50
0.061513,0,3,3,0,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.00
0.078738,0,3,3,5,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.05
0.078905,0,3,3,10,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.10
0.062589,0,3,3,15,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.15
0.06374,0,3,3,20,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.20
0.063244,0,3,3,25,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.25
0.062839,0,3,3,30,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.30
0.062099,0,3,3,35,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.35
0.061894,0,3,3,40,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.40
0.063244,0,3,3,45,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.45
0.078775,0,3,3,50,--text-len 100000,--pattern-len 10,--alphabet 8,--mutation-rate 0.50
0.061827,0,3,6,0,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.00
0.062579,0,3,6,5,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.05
0.063484,0,3,6,10,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.10
0.062846,0,3,6,15,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.15
0.061067,0,3,6,20,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.20
0.062388,0,3,6,25,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.25
0.062751,0,3,6,30,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.30
0.063128,0,3,6,35,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.35
0.061827,0,3,6,40,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.40
0.062785,0,3,6,45,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.45
0.062181,0,3,6,50,--text-len 100000,--pattern-len 10,--alphabet 14,--mutation-rate 0.50
0.062631,0,3,9,0,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.00
0.062806,0,3,9,5,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.05
0.062925,0,3,9,10,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.10
0.061234,0,3,9,15,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.15
0.061575,0,3,9,20,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.20
0.061513,0,3,9,25,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.25
0.062266,0,3,9,30,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.30
0.077919,0,3,9,35,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.35
0.062832,0,3,9,40,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.40
0.077445,0,3,9,45,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.45
0.078142,0,3,9,50,--text-len 100000,--pattern-len 10,--alphabet 20,--mutation-rate 0.50
0.079196,0,3,12,0,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.00
0.078767,0,3,12,5,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.05
0.077804,0,3,12,10,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.10
0.078083,0,3,12,15,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.15
0.063545,0,3,12,20,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.20
0.063105,0,3,12,25,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.25
0.064775,0,3,12,30,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.30
0.076796,0,3,12,35,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.35
0.062479,0,3,12,40,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.40
0.063712,0,3,12,45,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.45
0.062404,0,3,12,50,--text-len 100000,--pattern-len 10,--alphabet 26,--mutation-rate 0.50
0.063193,0,3,15,0,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.00
0.078501,0,3,15,5,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.05
0.063246,0,3,15,10,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.10
0.061354,0,3,15,15,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.15
0.078454,0,3,15,20,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.20
0.061704,0,3,15,25,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.25
0.063486,0,3,15,30,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.30
0.063752,0,3,15,35,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.35
0.061797,0,3,15,40,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.40
0.063398,0,3,15,45,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.45
0.062435,0,3,15,50,--text-len 100000,--pattern-len 10,--alphabet 32,--mutation-rate 0.50
0.078922,0,3,18,0,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.00
0.064243,0,3,18,5,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.05
0.063708,0,3,18,10,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.10
0.078938,0,3,18,15,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.15
0.0615,0,3,18,20,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.20
0.062546,0,3,18,25,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.25
0.078776,0,3,18,30,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.30
0.109762,0,3,18,35,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.35
0.110354,0,3,18,40,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.40
0.078526,0,3,18,45,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.45
0.079141,0,3,18,50,--text-len 100000,--pattern-len 10,--alphabet 38,--mutation-rate 0.50
0.0622,0,3,21,0,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.00
0.062373,0,3,21,5,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.05
0.062176,0,3,21,10,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.10
0.078855,0,3,21,15,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.15
0.062347,0,3,21,20,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.20
0.063442,0,3,21,25,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.25
0.063882,0,3,21,30,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.30
0.062381,0,3,21,35,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.35
0.062978,0,3,21,40,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.40
0.061843,0,3,21,45,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.45
0.062789,0,3,21,50,--text-len 100000,--pattern-len 10,--alphabet 44,--mutation-rate 0.50
0.063489,0,3,24,0,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.00
0.062413,0,3,24,5,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.05
0.07773,0,3,24,10,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.10
0.063516,0,3,24,15,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.15
0.062067,0,3,24,20,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.20
0.063699,0,3,24,25,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.25
0.077803,0,3,24,30,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.30
0.063124,0,3,24,35,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.35
0.078973,0,3,24,40,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.40
0.06284,0,3,24,45,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.45
0.062212,0,3,24,50,--text-len 100000,--pattern-len 10,--alphabet 50,--mutation-rate 0.50
0.077467,0,3,27,0,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.00
0.063171,0,3,27,5,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.05
0.062516,0,3,27,10,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.10
0.063197,0,3,27,15,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.15
0.062305,0,3,27,20,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.20
0.062905,0,3,27,25,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.25
0.06383,0,3,27,30,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.30
0.078117,0,3,27,35,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.35
0.062917,0,3,27,40,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.40
0.062935,0,3,27,45,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.45
0.062825,0,3,27,50,--text-len 100000,--pattern-len 10,--alphabet 56,--mutation-rate 0.50
0.063286,0,3,30,0,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.00
0.064025,0,3,30,5,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.05
0.062616,0,3,30,10,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.10
0.06294,0,3,30,15,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.15
0.063808,0,3,30,20,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.20
0.063339,0,3,30,25,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.25
0.063134,0,3,30,30,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.30
0.063103,0,3,30,35,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.35
0.077933,0,3,30,40,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.40
0.063014,0,3,30,45,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.45
0.077843,0,3,30,50,--text-len 100000,--pattern-len 10,--alphabet 62,--mutation-rate 0.50
0.077191,0,6,0,0,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.00
0.061859,0,6,0,5,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.05
0.061537,0,6,0,10,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.10
0.062486,0,6,0,15,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.15
0.062702,0,6,0,20,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.20
0.063605,0,6,0,25,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.25
0.061504,0,6,0,30,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.30
0.063928,0,6,0,35,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.35
0.063049,0,6,0,40,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.40
0.062681,0,6,0,45,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.45
0.062622,0,6,0,50,--text-len 100000,--pattern-len 16,--alphabet 2,--mutation-rate 0.50
0.06234,0,6,3,0,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.00
0.078578,0,6,3,5,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.05
0.062905,0,6,3,10,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.10
0.063921,0,6,3,15,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.15
0.062493,0,6,3,20,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.20
0.062377,0,6,3,25,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.25
0.062948,0,6,3,30,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.30
0.06407,0,6,3,35,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.35
0.063722,0,6,3,40,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.40
0.077308,0,6,3,45,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.45
0.062399,0,6,3,50,--text-len 100000,--pattern-len 16,--alphabet 8,--mutation-rate 0.50
0.062913,0,6,6,0,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.00
0.078118,0,6,6,5,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.05
0.077967,0,6,6,10,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.10
0.06312,0,6,6,15,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.15
0.048089,0,6,6,20,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.20
0.062415,0,6,6,25,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.25
0.063753,0,6,6,30,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.30
0.063604,0,6,6,35,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.35
0.061126,0,6,6,40,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.40
0.078622,0,6,6,45,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.45
0.06263,0,6,6,50,--text-len 100000,--pattern-len 16,--alphabet 14,--mutation-rate 0.50
0.063394,0,6,9,0,--text-len 100000,--pattern-len 16,--alphabet 20,--mutation-rate 0.00
0.062231,0,6,9,5,--text-len 100000,--pattern-len 16,--alphabet 20,--mutation-rate 0.05
0.061904,0,6,9,10,--text-len 100000,--pattern-len 16,--alphabet 20,--mutation-rate 0.10
